Date,Close,High,Low,Open,Volume
12/4/2023,186.0919952,186.3119965,185.0800018,186.0919952,0
12/5/2023,186.1199951,186.1640015,185.0800018,186.1199951,0
12/6/2023,185.3569946,185.7949982,185.1699982,185.3569946,0
12/7/2023,184.8159943,184.8090057,180.9649963,184.8159943,0
12/8/2023,181.598999,182.0140076,179.5650024,181.598999,0
12/11/2023,182.0070038,184.2960052,181.9680023,182.0070038,0
12/12/2023,183.371994,183.423996,182.276001,183.371994,0
12/13/2023,182.5980072,183.125,181.7100067,182.5980072,0
12/14/2023,180.2100067,180.8919983,178.4279938,180.2100067,0
12/15/2023,181.6609955,181.6959991,179.8549957,181.6609955,0
12/18/2023,180.3289948,181.1710052,180.1999969,180.3289948,0
12/19/2023,180.5449982,184.1410065,180.0630035,180.5449982,0
12/20/2023,183.1640015,183.3040009,181.2940063,183.1999969,0
12/21/2023,181.4089966,181.4210052,179.7980042,181.4089966,0
12/22/2023,180.1139984,181.3659973,179.9450073,180.1139984,0
12/25/2023,181.1736145,181.2329865,180.1100006,181.1736145,0
12/26/2023,180.6640015,181.2380066,180.4940033,180.6640015,0
12/27/2023,181.2630005,182.1490021,181.1260071,181.2630005,0
12/28/2023,180.9499969,181.3659973,179.0330048,180.9499969,0
12/29/2023,180.0410004,180.5249939,179.3309937,180.0410004,0
1/1/2024,179.3880005,179.8600006,178.9600067,179.3880005,0
1/2/2024,179.6139984,180.6170044,178.7660065,179.6139984,0
1/3/2024,179.427002,181.4620056,179.1860046,179.427002,0
1/4/2024,181.2030029,183.7680054,181.0220032,181.2030029,0
1/5/2024,183.6049957,184.2940063,183.3880005,183.6049957,0
1/8/2024,184.0379944,184.1230011,183.0130005,184.0379944,0
1/9/2024,183.7899933,183.8099976,182.779007,183.7899933,0
1/10/2024,183.5769958,185.4960022,183.6380005,183.5769958,0
1/11/2024,185.7310028,186.1109924,185.2819977,185.7310028,0
1/12/2024,185.3070068,185.6369934,184.473999,185.3070068,0
1/15/2024,184.8569946,185.7089996,184.7799988,184.8569946,0
1/16/2024,185.3670044,186.1660004,184.9909973,185.3670044,0
1/17/2024,186.0769958,188.095993,185.871994,186.0769958,0
1/18/2024,187.7420044,187.9589996,187.3200073,187.7420044,0
1/19/2024,188.2230072,188.8899994,187.4149933,188.2230072,0
1/22/2024,188.1029968,188.3690033,187.7550049,188.1029968,0
1/23/2024,188.2310028,188.8899994,187.4069977,188.2310028,0
1/24/2024,188.1260071,188.4550018,187.1430054,188.1260071,0
1/25/2024,187.6880035,188.1699982,187.177002,187.6880035,0
1/26/2024,187.7070007,188.5429993,187.3339996,187.7070007,0
1/29/2024,188.0800018,188.2799988,187.1130066,188.0800018,0
1/30/2024,187.4620056,187.451004,186.3619995,187.4620056,0
1/31/2024,187.0789948,187.5679932,185.9960022,187.0789948,0
2/1/2024,186.345993,186.5579987,185.2389984,186.345993,0
2/2/2024,186.6369934,187.7100067,186.4100037,186.6369934,0
2/5/2024,187.427002,187.5700073,186.1880035,187.427002,0
2/6/2024,186.3009949,186.7590027,186.1759949,186.3009949,0
2/7/2024,186.2799988,187.2519989,186.25,186.2799988,0
2/8/2024,186.9839935,188.4290009,186.8650055,186.9839935,0
2/9/2024,188.3540039,188.8439941,188.2550049,188.3540039,0
2/12/2024,188.4920044,188.7030029,187.8679962,188.4920044,0
2/13/2024,188.6329956,189.9880066,188.4299927,188.6309967,0
2/14/2024,189.7290039,189.8159943,188.7550049,189.7290039,0
2/15/2024,189.1950073,189.2120056,188.1399994,189.1950073,0
2/16/2024,188.8910065,189.2409973,188.8500061,188.8910065,0
2/19/2024,189.2709961,189.3890076,188.9100037,189.3339996,0
2/20/2024,189.1139984,189.6999969,189.0579987,189.1139984,0
2/21/2024,189.3090057,189.7409973,189.1399994,189.3090057,0
2/22/2024,189.9900055,190.8110046,189.8569946,189.9900055,0
2/23/2024,190.5390015,191.1369934,190.3860016,190.5390015,0
2/26/2024,190.7070007,191.3000031,190.3190002,190.6809998,0
2/27/2024,190.9669952,190.9660034,190.4029999,190.9400024,0
2/28/2024,190.8339996,190.8919983,190.2749939,190.8339996,0
